,Code,Accounting Metric,Page and Comment
Greenhouse Gas Emissions,TC-SC-110a.1 TC-SC-110a.2,"(1) Gross global Scope 1 emissions and (2) amount of total emissions from perfluorinated compounds Discussion of long-term and short-term strategy or plan to manage Scope 1 emissions, emissions","P.21, P.108, P.112 P.15-17, P.21"
Energy Management in,TC-SC-130a.1,"reduction targets, and an analysis of performance against those targets (1) Total energy consumption, (2) percentage of electricity delivered from grids, and (3) percentage","P.13, P.108"
Manufacturing,,"renewable (1) Total water withdrawn, (2) total water consumed, percentage of each in regions with High or",
Water Management Waste Management,TC-SC-140a.1 TC-SC-150a.1,"Extremely High Baseline Water Stress Amount of hazardous waste from manufacturing, percentage recycled","P.35, P.110-111 P.109, P.112"
Employee Health and Safety,TC-SC-320a.1,"Description of efforts to assess, monitor, and reduce exposure of employees to human health hazards Total amount of losses result of legal proceedings associated with employee health and",P.50-53
,TC-SC-320a.2,monetary as a safety violations,"P. 501-502, 2022 Annual Business Report (XI. Other Information)"
Recruiting & Managing a Global & Skilled Workforce,TC-SC-330a.1,Percentage of employees that are (1) foreign nationals and (2) located offshore,P.103-104
Product Lifecycle Management,TC-SC-410a.1,Percentage of products by revenue that contain IEC 62474 declarable substances,"We comply with global regulations (EU RoHS, REACH, TSCA, etc.) and manage internal rules in line with domestic and international standards. We conduct rigorous pre-inspection and follow-up management of all parts and raw materials used in our products. Please refer to p. 42 herein for our efforts to manage potentially hazardous substances."
Materials Sourcing,TC-SC-410a.2 TC-SC-440a.1,"Processor energy efficiency at a system-level: (1) servers, (2) desktops, and (3) laptops Description of risk associated with the use of critical materials",N/A P.86
Intellectual Property Protection & Competitive avior,TC-SC-520a.1,management Total amount of monetary losses as a result of legal proceedings associated with anti-competitive behavior regulations,"P. 498, 2022 Annual Business Report (XI. Other Information)"
