,Topic,Target,Unit,2022,2023,Target year,Learn more
,Achieve net-zero,emissions across all of our operations and value chain by 2030,,,,,
Net-zero carbon,Carbon-free energy,Run on 24/7 carbon-free energy on every grid where we operate by 2030,% global average carbon-free energy,64%,64%,2030,See page 35
,Carbon reduction,"Reduce 50% of our combined Scope 1, 2 (market-based), and 3 absolute emissions (compared to our 2019 base year) by 2030 181",% reduction since 2019,30% increase,48% increase,2030,See page 31
Water stewardship,Replenish more water,than we consume and help improve water quality and ecosystem health in,the communities where we,operate,,,
,Water replenishment,"Replenish 120% of the freshwater volume we consume, on average, across our offices and data centers by 2030",% freshwater replenished,6%,18%,2030,See page 46
,Maximize the reuse of,"finite resources across our operations, products, and supply chains",,,,,
,Data centers,Achieve Zero Waste to Landfill for our global data center operations,% of data centers at Zero Waste to Landfill 182,See page 53,29% 183,N/A,See page 53
Circular economy,Offices,Divert all food waste from landfill by 2025,% food waste diverted,85%,82%,2025,See page 52
,Consumer hardware,Use recycled or renewable material in at least 50% of plastic used across our consumer hardware product portfolio by 2025,% recycled/ renewable material,41%,34%,2025,See page 54
,devices,Make product packaging 100% plastic-free by 2025,% plastic-free packaging,96%,99%,2025,See page 55
